REGION,user_id,campaign,medium,source,LP_benefit_activation,unsubscribe,cancellation
europe-west1,69497,(referral),referral,l.facebook.com,,,
europe-west1,69498,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69502,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69516,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69520,(referral),referral,l.facebook.com,,,
europe-west1,69535,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69538,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69539,(referral),referral,l.facebook.com,,,
europe-west1,69544,(referral),referral,l.facebook.com,,,
europe-west1,69547,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69551,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,,,
europe-west1,69577,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69587,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69605,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69608,22VLE-PM-PP-D-ROAS_2022_VLG_Ecom_Pmax_PROS_Dynamic_Purchase_,cpc,google,,,
europe-west1,69623,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69637,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69668,20230529_BENL_KinderBueno_Subscribers,email,email,,1,
europe-west1,69714,(referral),referral,l.facebook.com,,,
europe-west1,69732,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69760,(organic),organic,google,,,
europe-west1,69790,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,,,
europe-west1,69798,22VLE-PM-PP-D-ROAS_2022_VLG_Ecom_Pmax_PROS_Dynamic_Purchase_,cpc,google,,,
europe-west1,69839,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69864,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,,,
europe-west1,69870,22VLE-SE-NP-AO-ROAS-onlinegrocery_2022_VLG_Ecom_Search_NA_AlwaysOn_Purchase_OnlineGrocery,cpc,google,,,
europe-west1,69876,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69EYcC1VP7RCp0Jm6DHr46DxV6H2,23WAB-SE-NA-AO-CPM-brand_2023_WAL_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,3,,
europe-west1,69Hdu8v3MjR7Ni7G5awLKsYK7wi1,20230615_BENL_ChangingPackage_Subscribers,email,email,8,,
europe-west1,69YPuhNgyyNl4ocuNwRQo4DrRXq1,(organic),organic,google,1,,
europe-west1,69aSxTZim3XHJtPrPFIPt7YNOKm1,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,69kPYhoCZwdzB1yA0edJ5gpFDHT2,daisycon_Deals.be,affiliate,daisycon,,,
europe-west1,69vtPPMqiGg5gRVZQzjYxaEWWYx2,(organic),organic,google,,,
europe-west1,69xXogkIYdM3QUD6xcp2bCca68q1,23VLE-PM-PP-D-ROAS_2023_VLG_Ecom_Pmax_PROS_Dynamic_Purchase,cpc,google,5,,
europe-west1,6AM1sejc7hTz0keopGkheh7gTdp2,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,1,,
europe-west1,6ASJLwPMsbgpzAHtMrNKsvIHPI52,(organic),organic,bing,1,,
europe-west1,6AVtSUs8gITWv3GebWYXGwZcqcL2,(organic),organic,google,,,
europe-west1,6AcpQTpddiRWQ5tbVhd0X8J3nCu1,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,4,,
europe-west1,6AiXMY3EEoZLBbNKSQKtSCsLXb62,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,1,,
europe-west1,6ArN8XoEsdgO561Q5feKLaDqzDO2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6B91g6vecygBoet52UGaXqO4Y1n2,20230315_BENL_M&MHeinz_Subscribers,email,email,,,
